"","day","nitrate","pCO2_atmos","temp","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"19",19,12,396.664823661375,4.28729400453572,0,396.991304637484,1996.98896835784,0,0,-73.6035507838616,1996.99356748184,12
"20",20,12,396.62689087188,4.31980782410316,0,396.989749781657,1996.98814595494,0,0,-82.2402898824098,1996.99356748184,12
"21",21,12,396.586983587537,4.35401406782574,0,396.988023363956,1996.98723280383,0,0,-91.3151114080142,1996.99356748184,12
"22",22,12,396.545113698798,4.38990254388751,0,396.986117248139,1996.98622459948,0,0,-100.820435106447,1996.99356748184,12
"23",23,12,396.501293680877,4.42746255924819,0,396.984023445666,1996.98511711473,0,0,-110.748474642773,1996.99356748184,12
"24",24,12,396.455536590033,4.46668292282914,0,396.981734119488,1996.98390620227,0,0,-121.091245780039,1996.99356748184,12
"25",25,12,396.407856059678,4.5075519488478,0,396.979241587665,1996.98258779653,0,0,-131.840574703781,1996.99356748184,12
"26",26,12,396.358266296317,4.55005746029948,0,396.976538326843,1996.98115791546,0,0,-142.98810647216,1996.99356748184,12
"27",27,12,396.306782075317,4.59418679258549,0,396.973616975551,1996.97961266232,0,0,-154.525313584994,1996.99356748184,12
"28",28,12,396.253418736499,4.63992679728662,0,396.970470337352,1996.97794822728,0,0,-166.443504647625,1996.99356748184,12
"29",29,12,396.198192179572,4.68726384608074,0,396.967091383811,1996.97616088895,0,0,-178.733833126081,1996.99356748184,12
"30",30,12,396.141118859396,4.73618383480335,0,396.963473257306,1996.97424701589,0,0,-191.387306168597,1996.99356748184,12
"31",31,12,396.082215781075,4.78667218764996,0,396.95960927367,1996.97220306795,0,0,-204.394793487962,1996.99356748184,12
"32",32,12,396.021500494894,4.83871386151900,0,396.955492924661,1996.97002559759,0,0,-217.747036285048,1996.99356748184,12
"33",33,12,395.958991091090,4.89229335049389,0,396.951117880267,1996.96771125103,0,0,-231.434656202221,1996.99356748184,12
