"","day","nitrate","pCO2_atmos","temp","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"183",183,0,390,10,0,335.4367809805,1960.85222799440,0,0,6808.39594145054,2016.79356748184,15
"184",184,0,390,10,0,335.954124461804,1961.18942621401,0,0,6743.964392028,2016.79356748184,15
"185",185,0,390,10,0,336.467528731189,1961.52342727435,0,0,6680.02120687394,2016.79356748184,15
"186",186,0,390,10,0,336.977006074107,1961.85425551959,0,0,6616.56490474108,2016.79356748184,15
"187",187,0,390,10,0,337.482569070874,1962.18193521794,0,0,6553.59396715847,2016.79356748184,15
"188",188,0,390,10,0,337.984230590389,1962.50649055991,0,0,6491.10683921041,2016.79356748184,15
"189",189,0,390,10,0,338.482003783863,1962.82794565642,0,0,6429.10193031289,2016.79356748184,15
"190",190,0,390,10,0,338.97590207854,1963.14632453717,0,0,6367.5776149881,2016.79356748184,15
"191",191,0,390,10,0,339.46593917148,1963.46165114885,0,0,6306.53223364076,2016.79356748184,15
"192",192,0,390,10,0,339.952129023317,1963.77394935352,0,0,6245.96409332665,2016.79356748184,15
"193",193,0,390,10,0,340.43448585206,1964.08324292694,0,0,6185.87146852422,2016.79356748184,15
"194",194,0,390,10,0,340.913024126921,1964.38955555704,0,0,6126.2526019003,2016.79356748184,15
"195",195,0,390,10,0,341.387758562154,1964.69291084229,0,0,6067.10570507344,2016.79356748184,15
"196",196,0,390,10,0,341.858704110928,1964.99333229026,0,0,6008.42895937532,2016.79356748184,15
"197",197,0,390,10,0,342.325875959239,1965.29084331609,0,0,5950.22051660762,2016.79356748184,15
"198",198,0,390,10,0,342.789289519838,1965.58546724108,0,0,5892.4784997951,2016.79356748184,15
"199",199,0,390,10,0,343.248960426205,1965.87722729128,0,0,5835.20100393579,2016.79356748184,15
"200",200,0,390,10,0,343.704904526545,1966.16614659612,0,0,5778.38609674567,2016.79356748184,15
"201",201,0,390,10,0,344.157137877842,1966.45224818709,0,0,5722.03181940091,2016.79356748184,15
"202",202,0,390,10,0,344.605676739928,1966.73555499645,0,0,5666.13618727282,2016.79356748184,15
"203",203,0,390,10,0,345.050537569610,1967.01608985598,0,0,5610.69719066106,2016.79356748184,15
"204",204,0,390,10,0,345.491737014834,1967.29387549576,0,0,5555.7127955192,2016.79356748184,15
"205",205,0,390,10,0,345.929291908882,1967.56893454297,0,0,5501.18094417609,2016.79356748184,15
"206",206,0,390,10,0,346.363219264637,1967.84128952077,0,0,5447.09955605334,2016.79356748184,15
"207",207,0,390,10,0,346.793536268868,1968.11096284719,0,0,5393.4665283742,2016.79356748184,15
"208",208,0,390,10,0,347.22026027659,1968.37797683403,0,0,5340.27973686934,2016.79356748184,15
"209",209,0,390,10,0,347.643408805444,1968.64235368586,0,0,5287.53703647501,2016.79356748184,15
"210",210,0,390,10,0,348.062999530156,1968.90411549896,0,0,5235.23626202639,2016.79356748184,15
"211",211,0,390,10,0,348.479050277024,1969.16328426040,0,0,5183.37522894342,2016.79356748184,15
"212",212,0,390,10,0,348.891579018478,1969.4198818471,0,0,5131.95173391183,2016.79356748184,15
"213",213,0,390,10,0,349.300603867675,1969.67393002488,0,0,5080.96355555571,2016.79356748184,15
"214",214,0,390,10,0,349.706143073160,1969.92545044763,0,0,5030.40845510505,2016.79356748184,15
"215",215,0,390,10,0,350.108215013592,1970.17446465649,0,0,4980.28417705636,2016.79356748184,15
"216",216,0,390,10,0,350.506838192494,1970.42099407898,0,0,4930.58844982414,2016.79356748184,15
"217",217,0,390,10,0,350.902031233107,1970.66506002830,0,0,4881.31898638958,2016.79356748184,15
"218",218,0,390,10,0,351.293812873256,1970.90668370254,0,0,4832.47348493711,2016.79356748184,15
"219",219,0,390,10,0,351.682201960315,1971.14588618402,0,0,4784.04962948835,2016.79356748184,15
"220",220,0,390,10,0,352.067217446203,1971.38268843854,0,0,4736.04509052525,2016.79356748184,15
"221",221,0,390,10,0,352.448878382457,1971.61711131483,0,0,4688.4575256076,2016.79356748184,15
"222",222,0,390,10,0,352.827203915363,1971.84917554382,0,0,4641.28457998263,2016.79356748184,15
"223",223,0,390,10,0,353.202213281143,1972.07890173818,0,0,4594.52388718695,2016.79356748184,15
"224",224,0,390,10,0,353.573925801212,1972.30631039167,0,0,4548.17306964092,2016.79356748184,15
"225",225,0,390,10,0,353.942360877498,1972.53142187863,0,0,4502.22973923513,2016.79356748184,15
"226",226,0,390,10,0,354.307537987814,1972.75425645352,0,0,4456.69149790891,2016.79356748184,15
"227",227,0,390,10,0,354.669476681314,1972.97483425043,0,0,4411.55593822218,2016.79356748184,15
"228",228,0,390,10,0,355.028196573992,1973.19317528263,0,0,4366.8206439173,2016.79356748184,15
"229",229,0,390,10,0,355.38371734426,1973.40929944215,0,0,4322.4831904751,2016.79356748184,15
"230",230,0,390,10,0,355.736058728587,1973.62322649944,0,0,4278.54114566183,2016.79356748184,15
"231",231,0,390,10,0,356.085240517199,1973.83497610294,0,0,4234.99207006772,2016.79356748184,15
"232",232,0,390,10,0,356.431282549852,1974.04456777882,0,0,4191.83351763874,2016.79356748184,15
"233",233,0,390,10,0,356.774204711661,1974.25202093063,0,0,4149.06303619913,2016.79356748184,15
"234",234,0,390,10,0,357.114026929007,1974.45735483903,0,0,4106.6781679668,2016.79356748184,15
"235",235,0,390,10,0,357.450769165493,1974.66058866153,0,0,4064.6764500589,2016.79356748184,15
"236",236,0,390,10,0,357.784451417984,1974.86174143228,0,0,4023.05541499235,2016.79356748184,15
"237",237,0,390,10,0,358.1150937127,1975.06083206184,0,0,3981.81259117281,2016.79356748184,15
"238",238,0,390,10,0,358.442716101381,1975.25787933701,0,0,3940.94550337747,2016.79356748184,15
"239",239,0,390,10,0,358.76733865751,1975.45290192067,0,0,3900.45167322967,2016.79356748184,15
"240",240,0,390,10,0,359.088981472619,1975.64591835166,0,0,3860.32861966495,2016.79356748184,15
"241",241,0,390,10,0,359.407664652637,1975.83694704462,0,0,3820.57385938821,2016.79356748184,15
"242",242,0,390,10,0,359.723408314322,1976.02600628999,0,0,3781.1849073249,2016.79356748184,15
"243",243,0,390,10,0,360.036232581750,1976.21311425384,0,0,3742.15927706194,2016.79356748184,15
"244",244,0,390,10,0,360.346157582875,1976.39828897791,0,0,3703.49448128170,2016.79356748184,15
"245",245,0,390,10,0,360.653203446142,1976.58154837952,0,0,3665.18803218753,2016.79356748184,15
"246",246,0,390,10,0,360.957390297182,1976.76291025161,0,0,3627.23744192175,2016.79356748184,15
"247",247,0,390,10,0,361.258738255551,1976.94239226276,0,0,3589.64022297466,2016.79356748184,15
"248",248,0,390,10,0,361.557267431559,1977.12001195719,0,0,3552.39388858726,2016.79356748184,15
"249",249,0,390,10,0,361.852997923132,1977.29578675485,0,0,3515.49595314365,2016.79356748184,15
